 INFO  Accepting connections at http://localhost:4321
 HTTP  1/31/2025 1:05:12 PM ::1 GET /
 HTTP  1/31/2025 1:05:12 PM ::1 Returned 200 in 14 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /robots.txt
 HTTP  1/31/2025 1:05:14 PM ::1 GET /chainlink-local/learn/architecture/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /chainlink-local/index/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /robots.txt
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/deploy-your-first-contract/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /chainlink-local/build/ccip/remix/local-simulator/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/developer-communications/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/deprecating-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /robots.txt
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/api-reference/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 6 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 5 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 5 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 4 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 4 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 3 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 3 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 6 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 7 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 6 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 5 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /chainlink-local/learn/contributing/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/developers/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/data-providers/dns-ownership/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/easypost-chainlink-testnet/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/dns-ownership/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/dxfeed-oracle/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/direct-request-multi-word/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/enabling-https-connections/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/ens/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/ethereum-proof-of-stake-merge/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/ethereum-addresses/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/example-projects/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/existing-job-request/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/example-walkthrough/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/evm-performance-configuration/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/external-initiators-introduction/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/external-initiators-in-nodes/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/external-adapters/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/fantom-price-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/faq/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/feed-registry-functions/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/feed-registry/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/flightaware-chainlink-testnet/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/flightstats-chainlink-testnet-etherisc/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/fluxaggregator-uses/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/fulfilling-requests/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/fund-your-contract/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/genesis-volatility/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/geodb-oracle-node/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/get-a-random-number/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/get-a-random-number/v1/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/get-the-latest-price/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/getting-help/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/getting-started/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/glossary/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
